ResponseId,conversation_id,old_UserID,new_UserID,id_source,first_message,survey_time,conv_time,survey_conv_diff_hours,id_survey_diff_hours,id_conv_diff_hours,extracted_ids_count,current_MatchMethod,data_status
R_2YrX7B6LLgDiXaH,674f00a7-21ec-8008-9857-714f03272028,6,03122024_1000_6,extracted_from_message,My #6 is 03122024_1000_6,2024-11-28 02:57:00,2024-12-03 12:59:20.094348,130.03891509665382,127.05,2.9889150966666667,2,ExplicitID,Complete
R_81h5GKDmEdrx0GJ,6751c42b-acd4-8010-9cce-5c945ce8ced9,5,5,extracted_from_message,My ID is 5 December_1500_#19,2024-11-28 05:00:00,2024-12-05 15:18:03.874476,178.3010762433211,,,1,ExplicitID,Complete
R_89xi5k2HqzeKlxL,674edcce-a6e4-8005-a6a2-e9755d883f79,03122024,03122024_1000_5,extracted_from_message,My ID is 03122024_1000_5.,2024-12-03 02:26:00,2024-12-03 10:26:23.132548,8.006425707803832,7.566666666666666,0.43975904111111114,3,Timestamp,Complete
R_8fTvMMXoB939sBz,674efe52-5750-800d-87ba-926471fc38cd,3,3rd,extracted_from_message,MyType the following: My ID is 3rd December 2024_12:30_21,2024-12-03 04:12:00,2024-12-03 12:49:22.612163,8.62294782307413,,,1,ExplicitID,Duplicate
R_82tVJx9okB5OKA1,674f235d-f22c-8012-b608-dfed00500a43,03122024,03122024_1500_15,extracted_from_message,My ID is 03122024_1500_15,2024-12-03 05:21:00,2024-12-03 15:27:26.113265,10.10725368473265,9.65,0.4572536847222222,3,Timestamp,Duplicate
R_8jgEcFv6MClM2it,674f3527-9c50-8002-9cac-4adaacd30e53,03,03122024_1643_11,extracted_from_message,My ID is 03/12/2024 16:43 11,2024-12-03 06:37:00,2024-12-03 16:43:19.864798,10.105517999463611,10.1,0.005517999444444445,3,Timestamp,Duplicate
R_28hngkufX8Dcjgl,67486406-1674-8009-8962-1cf4e5beddc6,28,2811_time_1237_2,extracted_from_message,28/11_12:37_2,2024-12-03 10:25:00,2024-11-28 12:37:26.511191,117.79263578030798,117.8,0.007364219722222222,1,ExplicitID,Complete
R_2ckqOJsblpXwZZ4,67502d32-64bc-8008-891e-4e2775be04c0,04122024,04122024_1000_6,extracted_from_message,My ID is 04122024_1000_6,2024-12-04 02:27:00,2024-12-04 10:21:38.562586,7.910711829463641,7.55,0.36071182944444447,3,Timestamp,Complete
R_2ZOtvsPWKQqsdj3,675040fe-c13c-8008-b921-c98f4888a5c1,04122024,04122024_1145_18,extracted_from_message,My ID is 04122024_1145_18,2024-12-04 04:11:00,2024-12-04 11:46:07.013256,7.585281460020277,7.566666666666666,0.018614793333333334,3,Timestamp,Duplicate
R_2ESbMx5RFZUw13Z,675065a4-9a50-800c-b683-9fd988913792,01122024,01122024_1500_11,extracted_from_message,My ID is 01122024_1500_11,2024-12-04 05:27:00,2024-12-04 14:22:28.901749,8.92469493024879,62.45,71.37469493027778,3,Timestamp,Duplicate
R_2XLJYIle88EM7Hb,6750849d-6f38-8010-b76a-d31d6ef8fe23,04122024,04122024_1645_19,extracted_from_message,My ID is 04122024_1645_19,2024-12-04 06:36:00,2024-12-04 16:34:37.764211,9.977156725260947,10.15,0.17284327472222222,3,Timestamp,Duplicate
R_2S8NBgTZocTf6yt,675182e0-a754-8007-8933-bc5527c1374b,05122024,05122024_1039_03,extracted_from_message,My ID is 05122024_1039_03,2024-12-05 02:39:00,2024-12-05 10:39:28.843965,8.008012212514878,8.0,0.008012212500000001,3,Timestamp,Complete
R_2gzI0KuYqLGPkOj,674da6bc-454c-8008-8335-b38c2f28eb29,02122024,02122024_1222_06,extracted_from_message,My ID is 02122024_1222_06,2024-12-02 04:09:00,2024-12-02 12:23:24.454092,8.24012613667382,8.216666666666667,0.02345947,3,Timestamp,Complete
R_24ArDOMEaUdCL2V,674eedb3-e298-8012-8120-a79c53300be4,03122024,03122024_1138_8,extracted_from_message,My ID is 03122024_1138_8,2024-12-03 02:26:00,2024-12-03 11:38:28.168408,9.207824557754728,9.2,0.007824557777777777,3,Timestamp,Duplicate
